SAMPLE VELOCITY FIELD, TEXT FORMAT
       X          Y      VEL        EVEL 
    -32.00     -8.00    556.28      2.05
    -32.00     -6.00    559.30      1.92
    -32.00     -4.00    559.60      2.01
    -32.00     -2.00    560.94      1.95
    -32.00      0.00    558.50      1.97
    -32.00      2.00    560.24      2.05
    -32.00      4.00    560.50      2.00
    -32.00      6.00    562.52      1.92
    -32.00      8.00    557.28      2.05
    -32.00     10.00    557.47      2.00
    -32.00     12.00    555.07      1.88
    -32.00     14.00    558.55      2.04
    -32.00     16.00    553.09      1.94
    -32.00     18.00    551.73      1.99
    -32.00     20.00    551.70      1.99
    -32.00     22.00    542.47      2.19
    -30.00    -20.00    543.39      1.94
    -30.00    -18.00    538.19      2.21
    -30.00    -16.00    541.84      1.91
    -30.00    -14.00    543.46      2.06
    -30.00    -12.00    544.99      2.02
    -30.00    -10.00    546.74      2.02
    -30.00     -8.00    552.63      1.82
    -30.00     -6.00    556.01      1.92
    -30.00     -4.00    555.78      2.09
    -30.00     -2.00    554.60      1.87
    -30.00      0.00    560.93      1.89
    -30.00      2.00    557.64      1.95
    -30.00      4.00    557.98      2.01
    -30.00      6.00    558.11      1.92
    -30.00      8.00    558.73      1.96
    -30.00     10.00    558.93      1.97
    -30.00     12.00    554.15      2.08
    -30.00     14.00    549.85      2.05
    -30.00     16.00    549.31      1.95
    -30.00     18.00    546.92      2.23
    -30.00     20.00    547.62      1.99
    -30.00     22.00    551.94      1.90
    -28.00    -20.00    535.09      2.22
    -28.00    -18.00    535.13      1.89
    -28.00    -16.00    546.91      2.02
    -28.00    -14.00    537.20      1.98
    -28.00    -12.00    544.41      1.95
    -28.00    -10.00    548.15      1.97
    -28.00     -8.00    554.62      2.06
    -28.00     -6.00    552.46      2.16
    -28.00     -4.00    555.86      1.77
    -28.00     -2.00    549.42      2.18
    -28.00      0.00    554.10      1.94
    -28.00      2.00    552.25      2.09
    -28.00      4.00    556.59      2.11
    -28.00      6.00    557.47      2.09
    -28.00      8.00    556.37      2.07
    -28.00     10.00    557.83      1.93
    -28.00     12.00    547.01      1.96
    -28.00     14.00    552.25      2.01
    -28.00     16.00    548.77      1.95
    -28.00     18.00    543.09      1.92
    -28.00     20.00    545.03      2.13
    -28.00     22.00    546.86      2.07
    -28.00     24.00    542.88      2.04
    -26.00    -22.00    531.49      2.04
    -26.00    -20.00    533.24      1.91
    -26.00    -18.00    536.28      2.09
    -26.00    -16.00    541.00      1.95
    -26.00    -14.00    538.44      1.97
    -26.00    -12.00    545.69      2.03
    -26.00    -10.00    543.41      1.96
    -26.00     -8.00    546.11      2.04
    -26.00     -6.00    550.08      2.01
    -26.00     -4.00    548.59      1.99
    -26.00     -2.00    553.15      2.00
    -26.00      0.00    555.36      1.98
    -26.00      2.00    554.88      1.95
    -26.00      4.00    555.67      2.02
    -26.00      6.00    560.25      2.05
    -26.00      8.00    552.49      1.92
    -26.00     10.00    551.48      2.11
    -26.00     12.00    550.59      1.98
    -26.00     14.00    552.91      1.91
    -26.00     16.00    546.49      1.97
    -26.00     18.00    543.26      1.95
    -26.00     20.00    546.66      1.93
    -26.00     22.00    542.64      1.94
    -26.00     24.00    540.95      1.88
    -24.00    -22.00    534.25      2.11
    -24.00    -20.00    527.80      2.03
    -24.00    -18.00    531.14      1.96
    -24.00    -16.00    530.83      1.98
    -24.00    -14.00    539.16      1.90
    -24.00    -12.00    539.71      1.92
    -24.00    -10.00    548.66      1.96
    -24.00     -8.00    546.39      1.99
    -24.00     -6.00    544.01      2.10
    -24.00     -4.00    548.18      2.17
    -24.00     -2.00    542.34      2.19
    -24.00      0.00    548.05      2.03
    -24.00      2.00    551.60      2.16
    -24.00      4.00    554.95      1.83
    -24.00      6.00    553.80      2.09
    -24.00      8.00    548.81      1.92
    -24.00     10.00    555.49      1.96
    -24.00     12.00    548.80      1.80
    -24.00     14.00    540.93      1.94
    -24.00     16.00    548.79      2.02
    -24.00     18.00    543.83      2.00
    -24.00     20.00    544.29      1.82
    -24.00     22.00    541.48      1.97
    -24.00     24.00    537.86      2.03
    -24.00     26.00    534.04      1.86
    -22.00    -22.00    523.93      2.03
    -22.00    -20.00    531.11      2.15
    -22.00    -18.00    529.25      2.10
    -22.00    -16.00    536.26      2.09
    -22.00    -14.00    539.78      1.99
    -22.00    -12.00    540.22      2.07
    -22.00    -10.00    544.06      1.90
    -22.00     -8.00    541.05      2.00
    -22.00     -6.00    542.99      2.02
    -22.00     -4.00    545.62      2.01
    -22.00     -2.00    544.96      2.09
    -22.00      0.00    548.01      2.08
    -22.00      2.00    551.85      2.13
    -22.00      4.00    551.01      1.97
    -22.00      6.00    551.89      2.00
    -22.00      8.00    554.10      2.05
    -22.00     10.00    546.15      2.08
    -22.00     12.00    548.85      2.22
    -22.00     14.00    544.51      1.84
    -22.00     16.00    542.08      2.11
    -22.00     18.00    542.80      2.09
    -22.00     20.00    535.20      2.04
    -22.00     22.00    531.72      2.12
    -22.00     24.00    531.76      2.26
    -22.00     26.00    529.73      1.96
    -20.00    -24.00    525.22      1.95
    -20.00    -22.00    521.13      1.92
    -20.00    -20.00    522.44      1.99
    -20.00    -18.00    529.49      1.98
    -20.00    -16.00    530.61      2.17
    -20.00    -14.00    531.74      1.86
    -20.00    -12.00    535.61      1.95
    -20.00    -10.00    537.44      2.01
    -20.00     -8.00    535.35      1.98
    -20.00     -6.00    534.12      2.15
    -20.00     -4.00    534.07      2.05
    -20.00     -2.00    544.47      2.00
    -20.00      0.00    544.46      2.11
    -20.00      2.00    550.41      2.20
    -20.00      4.00    553.33      2.02
    -20.00      6.00    549.14      2.05
    -20.00      8.00    549.49      2.10
    -20.00     10.00    549.10      2.19
    -20.00     12.00    544.18      1.94
    -20.00     14.00    541.74      2.09
    -20.00     16.00    542.45      1.85
    -20.00     18.00    537.27      2.02
    -20.00     20.00    527.25      2.03
    -20.00     22.00    535.33      2.09
    -20.00     24.00    530.44      1.93
    -20.00     26.00    532.57      1.96
    -18.00    -24.00    523.17      2.07
    -18.00    -22.00    524.16      1.92
    -18.00    -20.00    522.00      2.31
    -18.00    -18.00    522.91      2.17
    -18.00    -16.00    524.77      1.93
    -18.00    -14.00    528.25      2.07
    -18.00    -12.00    531.91      2.08
    -18.00    -10.00    532.18      1.89
    -18.00     -8.00    529.30      1.87
    -18.00     -6.00    526.03      1.98
    -18.00     -4.00    536.67      2.00
    -18.00     -2.00    537.13      1.89
    -18.00      0.00    542.71      2.03
    -18.00      2.00    542.19      2.04
    -18.00      4.00    549.84      1.91
    -18.00      6.00    553.23      2.11
    -18.00      8.00    547.95      1.98
    -18.00     10.00    541.99      1.94
    -18.00     12.00    544.97      1.96
    -18.00     14.00    539.34      2.08
    -18.00     16.00    536.13      2.00
    -18.00     18.00    531.89      2.04
    -18.00     20.00    526.07      1.90
    -18.00     22.00    527.97      2.03
    -18.00     24.00    525.23      1.93
    -18.00     26.00    526.25      2.12
    -16.00    -24.00    515.13      2.04
    -16.00    -22.00    517.64      2.04
    -16.00    -20.00    518.27      2.00
    -16.00    -18.00    518.27      1.99
    -16.00    -16.00    522.07      2.08
    -16.00    -14.00    526.56      2.08
    -16.00    -12.00    526.66      2.19
    -16.00    -10.00    523.78      1.97
    -16.00     -8.00    522.91      2.00
    -16.00     -6.00    526.59      2.01
    -16.00     -4.00    534.05      2.04
    -16.00     -2.00    539.28      1.97
    -16.00      0.00    540.19      1.87
    -16.00      2.00    542.04      1.84
    -16.00      4.00    544.88      1.95
    -16.00      6.00    553.44      1.97
    -16.00      8.00    549.90      2.00
    -16.00     10.00    546.43      1.99
    -16.00     12.00    541.78      1.86
    -16.00     14.00    536.90      1.82
    -16.00     16.00    529.86      1.96
    -16.00     18.00    530.24      2.08
    -16.00     20.00    528.45      2.11
    -16.00     22.00    532.44      1.96
    -16.00     24.00    524.15      1.96
    -16.00     26.00    524.91      1.96
    -14.00    -26.00    519.16      2.03
    -14.00    -24.00    508.40      2.06
    -14.00    -22.00    512.78      2.04
    -14.00    -20.00    513.84      1.98
    -14.00    -18.00    516.80      1.98
    -14.00    -16.00    520.94      1.97
    -14.00    -14.00    524.04      1.95
    -14.00    -12.00    519.39      1.88
    -14.00    -10.00    517.22      2.09
    -14.00     -8.00    515.54      2.04
    -14.00     -6.00    514.80      1.99
    -14.00     -4.00    529.95      1.97
    -14.00     -2.00    528.30      1.97
    -14.00      0.00    533.78      1.97
    -14.00      2.00    543.14      1.96
    -14.00      4.00    544.48      1.98
    -14.00      6.00    546.03      1.93
    -14.00      8.00    544.12      2.05
    -14.00     10.00    540.03      2.12
    -14.00     12.00    538.61      2.04
    -14.00     14.00    536.69      2.07
    -14.00     16.00    524.40      1.94
    -14.00     18.00    529.57      2.17
    -14.00     20.00    522.72      1.97
    -14.00     22.00    522.74      1.98
    -14.00     24.00    522.13      1.97
    -14.00     26.00    522.07      2.18
    -14.00     28.00    516.19      2.00
    -12.00    -26.00    510.04      2.02
    -12.00    -24.00    509.59      1.98
    -12.00    -22.00    505.07      1.97
    -12.00    -20.00    511.36      2.08
    -12.00    -18.00    511.00      2.04
    -12.00    -16.00    521.20      1.96
    -12.00    -14.00    512.28      2.01
    -12.00    -12.00    512.96      2.10
    -12.00    -10.00    515.38      2.01
    -12.00     -8.00    510.77      1.99
    -12.00     -6.00    518.68      1.98
    -12.00     -4.00    521.91      1.94
    -12.00     -2.00    527.78      1.98
    -12.00      0.00    530.35      2.08
    -12.00      2.00    541.06      2.01
    -12.00      4.00    546.41      1.92
    -12.00      6.00    543.28      2.13
    -12.00      8.00    541.36      1.93
    -12.00     10.00    541.34      2.09
    -12.00     12.00    539.19      2.06
    -12.00     14.00    533.64      1.94
    -12.00     16.00    529.60      1.88
    -12.00     18.00    522.03      1.95
    -12.00     20.00    518.59      1.98
    -12.00     22.00    518.93      2.03
    -12.00     24.00    517.32      2.06
    -12.00     26.00    512.51      2.02
    -12.00     28.00    513.92      1.87
    -10.00    -26.00    508.12      2.02
    -10.00    -24.00    505.70      1.90
    -10.00    -22.00    505.87      1.89
    -10.00    -20.00    504.42      2.08
    -10.00    -18.00    509.58      1.96
    -10.00    -16.00    516.25      1.93
    -10.00    -14.00    510.56      1.94
    -10.00    -12.00    507.13      1.89
    -10.00    -10.00    509.57      1.93
    -10.00     -8.00    510.34      1.93
    -10.00     -6.00    512.19      1.74
    -10.00     -4.00    511.37      1.97
    -10.00     -2.00    524.17      2.04
    -10.00      0.00    529.10      2.02
    -10.00      2.00    534.33      2.10
    -10.00      4.00    546.06      1.89
    -10.00      6.00    545.94      2.04
    -10.00      8.00    534.24      1.94
    -10.00     10.00    539.49      1.90
    -10.00     12.00    535.92      1.99
    -10.00     14.00    527.29      1.91
    -10.00     16.00    520.17      2.00
    -10.00     18.00    522.10      1.83
    -10.00     20.00    514.53      2.00
    -10.00     22.00    517.24      2.06
    -10.00     24.00    515.10      1.79
    -10.00     26.00    519.78      1.99
    -10.00     28.00    517.96      1.96
     -8.00    -26.00    500.85      2.09
     -8.00    -24.00    502.42      2.11
     -8.00    -22.00    503.43      2.11
     -8.00    -20.00    504.96      2.12
     -8.00    -18.00    507.33      1.86
     -8.00    -16.00    507.79      2.11
     -8.00    -14.00    507.84      1.91
     -8.00    -12.00    503.09      1.96
     -8.00    -10.00    501.47      1.91
     -8.00     -8.00    507.24      1.94
     -8.00     -6.00    508.06      1.86
     -8.00     -4.00    515.77      1.98
     -8.00     -2.00    516.40      2.20
     -8.00      0.00    529.80      2.15
     -8.00      2.00    537.30      2.01
     -8.00      4.00    542.15      1.84
     -8.00      6.00    538.12      1.93
     -8.00      8.00    538.78      2.03
     -8.00     10.00    537.08      1.80
     -8.00     12.00    529.92      1.96
     -8.00     14.00    528.76      1.89
     -8.00     16.00    517.35      1.96
     -8.00     18.00    519.25      1.93
     -8.00     20.00    512.79      2.13
     -8.00     22.00    517.86      1.89
     -8.00     24.00    512.68      2.05
     -8.00     26.00    508.58      1.93
     -8.00     28.00    511.34      1.81
     -6.00    -26.00    500.79      2.06
     -6.00    -24.00    501.41      2.16
     -6.00    -22.00    494.82      1.89
     -6.00    -20.00    503.67      1.92
     -6.00    -18.00    504.45      2.10
     -6.00    -16.00    502.58      1.71
     -6.00    -14.00    497.48      1.99
     -6.00    -12.00    494.20      2.12
     -6.00    -10.00    494.11      1.85
     -6.00     -8.00    501.10      1.98
     -6.00     -6.00    502.49      1.83
     -6.00     -4.00    511.59      2.16
     -6.00     -2.00    513.17      2.00
     -6.00      0.00    527.93      2.00
     -6.00      2.00    532.36      1.98
     -6.00      4.00    533.44      1.88
     -6.00      6.00    542.55      1.96
     -6.00      8.00    535.28      2.11
     -6.00     10.00    530.02      2.18
     -6.00     12.00    529.44      2.06
     -6.00     14.00    523.73      1.83
     -6.00     16.00    522.20      2.13
     -6.00     18.00    509.83      1.97
     -6.00     20.00    509.77      2.02
     -6.00     22.00    508.27      1.86
     -6.00     24.00    507.18      1.87
     -6.00     26.00    509.62      2.01
     -6.00     28.00    506.20      1.96
     -4.00    -28.00    496.24      1.87
     -4.00    -26.00    498.25      1.85
     -4.00    -24.00    497.79      1.93
     -4.00    -22.00    496.12      1.96
     -4.00    -20.00    498.24      2.10
     -4.00    -18.00    501.22      1.79
     -4.00    -16.00    495.44      1.99
     -4.00    -14.00    493.14      2.04
     -4.00    -12.00    487.89      1.99
     -4.00    -10.00    483.74      1.93
     -4.00     -8.00    484.57      1.91
     -4.00     -6.00    497.09      2.02
     -4.00     -4.00    500.31      1.96
     -4.00     -2.00    511.20      2.03
     -4.00      0.00    522.86      2.23
     -4.00      2.00    529.05      1.87
     -4.00      4.00    531.69      1.97
     -4.00      6.00    529.12      1.99
     -4.00      8.00    533.89      1.95
     -4.00     10.00    532.03      2.04
     -4.00     12.00    522.72      2.02
     -4.00     14.00    515.58      1.97
     -4.00     16.00    511.82      1.98
     -4.00     18.00    509.50      2.12
     -4.00     20.00    505.22      2.16
     -4.00     22.00    505.09      1.85
     -4.00     24.00    502.34      1.85
     -4.00     26.00    503.24      1.83
     -4.00     28.00    501.78      2.19
     -2.00    -28.00    496.86      2.05
     -2.00    -26.00    489.97      2.11
     -2.00    -24.00    488.04      2.08
     -2.00    -22.00    489.85      1.97
     -2.00    -20.00    494.17      1.97
     -2.00    -18.00    495.80      1.89
     -2.00    -16.00    493.21      2.07
     -2.00    -14.00    489.56      2.04
     -2.00    -12.00    482.17      2.07
     -2.00    -10.00    483.36      2.13
     -2.00     -8.00    488.87      1.83
     -2.00     -6.00    491.54      1.98
     -2.00     -4.00    497.35      2.08
     -2.00     -2.00    509.25      1.98
     -2.00      0.00    523.17      2.28
     -2.00      2.00    527.63      2.16
     -2.00      4.00    521.82      1.86
     -2.00      6.00    520.74      1.92
     -2.00      8.00    524.73      1.99
     -2.00     10.00    523.86      2.10
     -2.00     12.00    518.88      1.99
     -2.00     14.00    512.21      1.82
     -2.00     16.00    508.48      2.13
     -2.00     18.00    500.25      2.04
     -2.00     20.00    499.04      1.95
     -2.00     22.00    500.63      2.03
     -2.00     24.00    503.22      2.14
     -2.00     26.00    500.41      1.91
     -2.00     28.00    498.94      2.03
      0.00    -28.00    488.67      1.86
      0.00    -26.00    488.87      2.16
      0.00    -24.00    498.01      1.96
      0.00    -22.00    491.90      2.17
      0.00    -20.00    490.76      1.81
      0.00    -18.00    491.08      1.99
      0.00    -16.00    488.73      2.00
      0.00    -14.00    480.70      2.00
      0.00    -12.00    482.67      2.04
      0.00    -10.00    477.50      1.98
      0.00     -8.00    478.21      2.11
      0.00     -6.00    482.30      1.95
      0.00     -4.00    487.01      2.04
      0.00     -2.00    501.21      2.02
      0.00      0.00    517.19      2.09
      0.00      2.00    513.43      1.86
      0.00      4.00    509.96      2.07
      0.00      6.00    514.37      2.13
      0.00      8.00    516.66      1.88
      0.00     10.00    514.21      1.88
      0.00     12.00    509.74      2.10
      0.00     14.00    514.14      1.86
      0.00     16.00    505.93      2.10
      0.00     18.00    496.57      1.91
      0.00     20.00    500.14      2.02
      0.00     22.00    500.37      2.01
      0.00     24.00    501.92      1.85
      0.00     26.00    498.21      2.01
      0.00     28.00    493.40      2.11
      2.00    -28.00    488.63      2.01
      2.00    -26.00    489.40      2.01
      2.00    -24.00    484.45      2.16
      2.00    -22.00    487.12      2.06
      2.00    -20.00    483.81      2.04
      2.00    -18.00    487.82      2.07
      2.00    -16.00    481.54      1.87
      2.00    -14.00    478.01      1.98
      2.00    -12.00    472.68      1.92
      2.00    -10.00    476.71      2.01
      2.00     -8.00    474.03      2.07
      2.00     -6.00    470.72      1.90
      2.00     -4.00    478.22      1.96
      2.00     -2.00    482.13      2.04
      2.00      0.00    492.05      1.87
      2.00      2.00    497.62      2.14
      2.00      4.00    506.86      1.94
      2.00      6.00    507.89      1.92
      2.00      8.00    504.39      1.96
      2.00     10.00    513.46      2.01
      2.00     12.00    509.24      2.09
      2.00     14.00    501.83      2.01
      2.00     16.00    495.99      1.95
      2.00     18.00    492.41      2.00
      2.00     20.00    490.81      2.03
      2.00     22.00    491.18      2.07
      2.00     24.00    492.95      2.03
      2.00     26.00    494.99      1.90
      2.00     28.00    500.78      2.06
      4.00    -28.00    480.25      1.98
      4.00    -26.00    479.65      1.91
      4.00    -24.00    479.28      2.05
      4.00    -22.00    483.54      2.02
      4.00    -20.00    481.31      2.03
      4.00    -18.00    484.32      2.06
      4.00    -16.00    474.85      2.07
      4.00    -14.00    464.50      2.07
      4.00    -12.00    463.24      2.22
      4.00    -10.00    463.46      1.99
      4.00     -8.00    462.36      1.91
      4.00     -6.00    469.21      1.93
      4.00     -4.00    467.02      1.94
      4.00     -2.00    467.25      1.98
      4.00      0.00    466.86      1.89
      4.00      2.00    482.29      1.95
      4.00      4.00    490.56      2.08
      4.00      6.00    502.69      2.18
      4.00      8.00    500.39      1.96
      4.00     10.00    500.49      2.22
      4.00     12.00    505.44      1.97
      4.00     14.00    498.82      1.99
      4.00     16.00    492.84      1.96
      4.00     18.00    483.87      2.10
      4.00     20.00    491.13      2.02
      4.00     22.00    489.08      1.93
      4.00     24.00    494.68      2.01
      4.00     26.00    489.76      1.96
      4.00     28.00    491.24      2.00
      6.00    -28.00    480.90      2.03
      6.00    -26.00    479.07      2.09
      6.00    -24.00    477.57      1.90
      6.00    -22.00    473.65      1.80
      6.00    -20.00    474.32      1.99
      6.00    -18.00    480.71      2.09
      6.00    -16.00    467.60      1.87
      6.00    -14.00    464.47      2.02
      6.00    -12.00    461.61      2.02
      6.00    -10.00    453.94      1.96
      6.00     -8.00    455.45      1.89
      6.00     -6.00    458.88      1.95
      6.00     -4.00    454.36      1.99
      6.00     -2.00    456.38      2.16
      6.00      0.00    461.43      2.03
      6.00      2.00    474.81      2.02
      6.00      4.00    482.20      1.95
      6.00      6.00    489.81      2.08
      6.00      8.00    494.69      2.02
      6.00     10.00    500.66      1.88
      6.00     12.00    490.38      1.99
      6.00     14.00    493.75      2.05
      6.00     16.00    492.10      1.85
      6.00     18.00    483.34      2.03
      6.00     20.00    488.00      2.12
      6.00     22.00    488.28      2.00
      6.00     24.00    494.86      1.90
      6.00     26.00    486.58      1.89
      6.00     28.00    484.32      1.90
      8.00    -28.00    474.89      2.15
      8.00    -26.00    474.17      2.17
      8.00    -24.00    474.84      2.01
      8.00    -22.00    480.01      2.01
      8.00    -20.00    471.79      1.78
      8.00    -18.00    475.26      1.94
      8.00    -16.00    467.23      2.18
      8.00    -14.00    460.35      2.01
      8.00    -12.00    462.11      2.02
      8.00    -10.00    455.63      1.65
      8.00     -8.00    453.22      1.92
      8.00     -6.00    452.35      2.10
      8.00     -4.00    451.15      1.96
      8.00     -2.00    452.03      1.92
      8.00      0.00    456.41      2.02
      8.00      2.00    466.18      2.24
      8.00      4.00    473.48      2.00
      8.00      6.00    485.81      2.04
      8.00      8.00    489.18      1.87
      8.00     10.00    490.74      1.95
      8.00     12.00    491.67      2.09
      8.00     14.00    485.49      2.01
      8.00     16.00    480.02      2.04
      8.00     18.00    484.49      2.04
      8.00     20.00    480.95      1.96
      8.00     22.00    483.24      2.03
      8.00     24.00    481.18      2.03
      8.00     26.00    486.25      1.95
      8.00     28.00    482.43      2.04
     10.00    -28.00    476.13      2.05
     10.00    -26.00    469.78      1.88
     10.00    -24.00    471.50      2.10
     10.00    -22.00    472.72      2.12
     10.00    -20.00    468.75      2.08
     10.00    -18.00    467.51      2.07
     10.00    -16.00    461.10      2.07
     10.00    -14.00    453.72      1.83
     10.00    -12.00    451.57      2.02
     10.00    -10.00    441.95      2.09
     10.00     -8.00    442.74      1.97
     10.00     -6.00    438.40      1.96
     10.00     -4.00    442.08      2.03
     10.00     -2.00    440.86      1.93
     10.00      0.00    454.28      1.75
     10.00      2.00    465.40      2.02
     10.00      4.00    474.27      2.04
     10.00      6.00    477.96      2.06
     10.00      8.00    488.19      2.04
     10.00     10.00    484.98      1.77
     10.00     12.00    483.42      2.00
     10.00     14.00    484.02      2.05
     10.00     16.00    481.57      2.07
     10.00     18.00    476.04      1.95
     10.00     20.00    477.19      2.10
     10.00     22.00    475.47      2.01
     10.00     24.00    477.49      1.99
     10.00     26.00    478.27      2.06
     12.00    -28.00    471.81      2.15
     12.00    -26.00    464.67      2.10
     12.00    -24.00    467.72      2.11
     12.00    -22.00    471.01      1.93
     12.00    -20.00    461.03      2.12
     12.00    -18.00    467.44      2.09
     12.00    -16.00    462.55      1.88
     12.00    -14.00    457.03      2.07
     12.00    -12.00    449.31      2.01
     12.00    -10.00    448.00      2.02
     12.00     -8.00    440.77      2.14
     12.00     -6.00    443.45      1.93
     12.00     -4.00    445.01      1.98
     12.00     -2.00    437.58      1.95
     12.00      0.00    447.11      2.12
     12.00      2.00    454.72      1.91
     12.00      4.00    466.38      1.93
     12.00      6.00    471.86      1.76
     12.00      8.00    477.74      1.99
     12.00     10.00    481.04      1.94
     12.00     12.00    475.30      2.12
     12.00     14.00    473.71      2.11
     12.00     16.00    473.97      1.96
     12.00     18.00    473.26      1.92
     12.00     20.00    473.93      2.02
     12.00     22.00    475.73      2.01
     12.00     24.00    473.18      1.79
     12.00     26.00    476.83      1.93
     14.00    -28.00    467.90      2.03
     14.00    -26.00    465.03      1.96
     14.00    -24.00    460.97      2.02
     14.00    -22.00    459.81      1.86
     14.00    -20.00    463.45      1.91
     14.00    -18.00    463.23      2.18
     14.00    -16.00    459.76      2.01
     14.00    -14.00    451.21      2.08
     14.00    -12.00    449.60      2.08
     14.00    -10.00    441.90      1.94
     14.00     -8.00    433.32      1.90
     14.00     -6.00    437.81      2.06
     14.00     -4.00    435.21      2.08
     14.00     -2.00    440.83      1.97
     14.00      0.00    452.34      2.13
     14.00      2.00    452.51      1.93
     14.00      4.00    460.88      1.95
     14.00      6.00    466.93      2.06
     14.00      8.00    471.08      2.11
     14.00     10.00    476.02      2.20
     14.00     12.00    469.41      1.91
     14.00     14.00    471.94      2.04
     14.00     16.00    462.64      2.05
     14.00     18.00    467.31      1.99
     14.00     20.00    470.40      1.98
     14.00     22.00    473.71      1.95
     14.00     24.00    468.49      1.96
     14.00     26.00    472.67      2.01
     16.00    -28.00    459.34      2.06
     16.00    -26.00    463.57      1.83
     16.00    -24.00    459.13      1.94
     16.00    -22.00    466.45      2.13
     16.00    -20.00    459.77      1.94
     16.00    -18.00    453.57      2.03
     16.00    -16.00    455.09      1.99
     16.00    -14.00    447.60      2.01
     16.00    -12.00    441.19      1.95
     16.00    -10.00    438.21      2.08
     16.00     -8.00    431.57      2.02
     16.00     -6.00    431.89      1.89
     16.00     -4.00    438.39      1.83
     16.00     -2.00    440.57      1.87
     16.00      0.00    442.75      2.09
     16.00      2.00    454.82      2.28
